utter_name,text,buttons,images
utter_greet,"Bonjour ,je suis  un Serial Entrepreneur pour vous aider a Élever votre parcours de collecte de fonds",merci;/merci;bye;/bye,
utter_recapitule,donc vous voulez une stratégie personnalisée pour élever vos efforts de collecte de fonds,,
utter_resoudre,"je propose du mentorat des alliances stratégiques et un accompagnement continu pour garantir que votre start-up non seulement obtient des fonds, mais prospère également à long terme",,
utter_bye,au revoir,,"https://hips.hearstapps.com/hmg-prod/images/happy-smiley-face-balloons-against-colorful-cotton-royalty-free-image-1677446093.jpg?crop=0.668xw:1.00xh;0,0&resize=1200:*"
utter_faq/qst_period,"La durée dépendra de plusieurs facteurs, tels que vos objectifs, votre plan d'exécution, et votre évaluation des résultats.",,
utter_faq/qst_fond,"En tant qu'expert, je vais vous aider à obtenir des fonds en évaluant d'abord vos besoins financiers, en identifiant des sources de financement appropriées, et en vous guidant à travers le processus de demande",utile;/utile;plus de détail;/detail,
utter_chitchat/greet,"Bonjour ,je suis  un Serial Entrepreneur ",,https://www.digitalmarketing.org/hs-fs/hubfs/shutterstock_1420845491.jpg?width=2500&name=shutterstock_1420845491.jpg
utter_chitchat/represente,Je suis là pour vous aider à améliorer votre parcours de collecte de fonds en tant que Serial Entrepreneur.,,
utter_chitchat/bye,au revoir ,,
utter_detail,"je propose du mentorat des alliances stratégiques et un accompagnement continu pour garantir que votre start-up non seulement obtient des fonds, mais prospère également à long terme",,
utter_utile,parfait 👌🏻!,,
